country,country_code,year,maternal_mortality,skilled_birth_attendance,adolescent_fertility
Caribbean small states,CSS,2019,75,98.3305190941307,50.9561591706505
Caribbean small states,CSS,2010,87,94.2088416821488,57.3544861600272
Caribbean small states,CSS,2000,127,89.1339370475559,65.8787799709016
Central Europe and the Baltics,CEB,2019,7,97.9242152095673,18.6727533394632
Central Europe and the Baltics,CEB,2010,9,99.6519170675154,22.4095774459529
Central Europe and the Baltics,CEB,2000,18,99.4771055784149,24.0184370229859
Central Europe and the Baltics,CEB,1990,41,99.0160607096093,41.3519689477013
Early-demographic dividend,EAR,2019,122,83.7106352547119,35.6045210912706
Early-demographic dividend,EAR,2010,201,59.7737713697158,54.7998519525383
Early-demographic dividend,EAR,2000,332,47.5774750895443,90.6292795434088
East Asia & Pacific (excluding high income),EAP,2019,65,95.3954858899963,18.5469803749391
East Asia & Pacific (excluding high income),EAP,2010,90,91.7872695147124,24.5006947727439
East Asia & Pacific (excluding high income),EAP,2000,126,84.1964085915202,19.6302299593902
East Asia & Pacific (excluding high income),EAP,1990,162,83.914298369421,33.3294315525155
East Asia & Pacific (IDA & IBRD countries),TEA,2019,65,95.3399242006113,18.7982239441505
East Asia & Pacific (IDA & IBRD countries),TEA,2010,90,91.6897079956173,24.8192251514281
East Asia & Pacific (IDA & IBRD countries),TEA,2000,125,84.0208098471743,19.8432152271689
East Asia & Pacific (IDA & IBRD countries),TEA,1990,164,83.91447700993,33.7338650226799
Euro area,EMU,2019,6,98.2707207704699,6.1236077186348
Euro area,EMU,2010,7,98.3184826299508,9.99051068921942
Euro area,EMU,2000,9,99.4022863952691,12.0206746064266
Europe & Central Asia (excluding high income),ECA,2019,19,98.318041517326,21.9026736076603
Europe & Central Asia (excluding high income),ECA,2010,25,97.324567068384,30.6936634773319
Europe & Central Asia (excluding high income),ECA,2000,37,88.8075726770358,36.9470299153849
Europe & Central Asia (IDA & IBRD countries),TEC,2019,16,98.5163683365692,19.6839164495153
Europe & Central Asia (IDA & IBRD countries),TEC,2010,23,98.2846409369275,29.9033261835105
Europe & Central Asia (IDA & IBRD countries),TEC,2000,38,92.6110660755882,32.0057570533736
Europe & Central Asia (IDA & IBRD countries),TEC,1990,50,98.4806560185241,51.9093314530629
European Union,EUU,2019,6,98.0942025498669,8.36274668069176
European Union,EUU,2010,7,98.6537659001354,12.6911779279073
European Union,EUU,2000,11,99.3872568536649,15.0923182371466
Fragile and conflict affected situations,FCS,2019,526,61.2121625831295,87.7444344010245
Fragile and conflict affected situations,FCS,2010,646,51.6892122671732,105.070100539526
Fragile and conflict affected situations,FCS,2000,761,40.4718374763044,112.770633656863
Heavily indebted poor countries (HIPC),HPC,2019,380,67.159022353003,101.214154492146
Heavily indebted poor countries (HIPC),HPC,2010,558,50.5330492325164,117.779676713593
Heavily indebted poor countries (HIPC),HPC,2000,701,36.5987806460467,134.051519983976
IBRD only,IBD,2019,73,93.5257573589433,25.1852257961341
IBRD only,IBD,2010,115,78.4844349828219,39.3096903954076
IBRD only,IBD,2000,198,69.8333585980025,57.9883177533022
IDA & IBRD total,IBT,2019,216,81.9792739955644,44.9903251533142
IDA & IBRD total,IBT,2010,272,66.8783410995146,56.5877086328318
IDA & IBRD total,IBT,2000,355,58.2573367286178,72.2319970922308
IDA blend,IDB,2019,543,64.0813787584477,70.2073200264216
IDA blend,IDB,2010,596,49.3904679915625,88.4434642926202
IDA blend,IDB,2000,656,39.3780174327529,101.879909416029
IDA blend,IDB,1990,725,29.7967454648476,119.766811410817
IDA only,IDX,2019,331,66.4795796170935,89.7427443808581
IDA only,IDX,2010,479,48.0982262569065,104.513766782909
IDA only,IDX,2000,636,32.3045087796421,123.013741267209
IDA total,IDA,2019,405,65.5550663571736,83.0409852836675
IDA total,IDA,2010,522,48.5904006590552,98.8755421524203
IDA total,IDA,2000,643,35.0157921668444,115.61561157486
Late-demographic dividend,LTE,2019,30,99.0303736347724,19.1729171352492
Late-demographic dividend,LTE,2010,41,98.1045789316278,25.087654760458
Late-demographic dividend,LTE,2000,63,94.9750195631633,23.1906073073033
Late-demographic dividend,LTE,1990,106,90.0899046222491,35.3214495080962
Latin America & Caribbean (excluding high income),LAC,2019,71,94.2188468692234,58.1827474043793
Latin America & Caribbean (excluding high income),LAC,2010,81,91.2240333430288,73.002469093637
Latin America & Caribbean (excluding high income),LAC,2000,94,85.428624858538,83.2167336463436
Latin America & Caribbean (excluding high income),LAC,1990,154,75.8840273673362,89.6004066902298
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,75,94.5669699883014,57.934252696683
Latin America & the Caribbean (IDA & IBRD countries),TLA,2010,81,91.7815594094968,73.8078519749178
Latin America & the Caribbean (IDA & IBRD countries),TLA,2000,92,86.200902301313,83.6755320965885
Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,148,75.8175689429656,89.5932630769048
Least developed countries: UN classification,LDC,2019,342,64.1455645749684,94.9042166923707
Least developed countries: UN classification,LDC,2010,503,45.2042518460365,111.211341973875
Least developed countries: UN classification,LDC,2000,675,30.2481667477359,130.70235787134
Low & middle income,LMY,2019,218,82.7286152813965,44.5578504729476
Low & middle income,LMY,2010,268,67.6570555879043,55.8712354131357
Low & middle income,LMY,2000,347,58.839697218947,72.4957182914272
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2019,51,80.0655783154238,42.3985933420592
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2010,63,62.618543990834,50.4851209705232
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2000,103,47.2075782799746,57.5840305293351
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1990,171,34.5317275099563,82.1730280997033
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2019,146,79.0840045823239,44.3425384458624
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2010,195,61.0097847862733,52.5793274083434
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2000,330,45.0335070580717,59.3551938058784
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1990,336,32.0504466996195,83.7192437875998
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2019,147,78.8749093622295,44.3732012604074
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2010,196,60.691437085944,52.5941201809425
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2000,332,44.5017858430404,59.1577143670245
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1990,338,32.0504466996195,83.5495139122398
Middle income,MIC,2019,181,84.708381911720707,37.1858203266382
Middle income,MIC,2010,225,69.5687503265311,50.0270278286432
Middle income,MIC,2000,300,60.6947787948011,68.326859703013
OECD members,OED,2019,18,98.259377290521,20.6083164562881
OECD members,OED,2010,20,97.7806747660098,31.4402309728422
OECD members,OED,2000,24,95.4083987746184,35.5699979087533
Other small states,OSS,2019,113,88.5127854603252,30.9703525428874
Other small states,OSS,2010,263,80.1205737975029,41.8097501452918
